% Pressure-radius-data reproduced from Holzapfel et al., J Elasticity 61, 1-48 (2000), Fig. 16a, w/o residual strain
% Inner pressure (kPa)	Inner radius (mm), axial stretch 1.5	Inner radius (mm), axial stretch 1.7	Inner radius (mm), axial stretch 1.9
0.00	0.557	0.478	0.353
0.44	0.643	0.558	0.396
0.87	0.741	0.659	0.455
1.31	0.831	0.759	0.534
1.74	0.900	0.838	0.626
2.18	0.950	0.896	0.713
2.61	0.989	0.939	0.783
3.05	1.019	0.972	0.837
3.48	1.043	0.999	0.879
3.92	1.064	1.021	0.912
4.35	1.081	1.039	0.939
4.79	1.096	1.055	0.962
5.22	1.109	1.069	0.981
5.66	1.120	1.081	0.998
6.09	1.130	1.092	1.013
6.53	1.140	1.102	1.026
6.96	1.148	1.111	1.038
7.40	1.156	1.119	1.048
7.84	1.163	1.126	1.058
8.27	1.170	1.133	1.066
8.71	1.176	1.140	1.074
9.14	1.182	1.146	1.082
9.58	1.187	1.152	1.089
10.01	1.193	1.157	1.095
10.45	1.197	1.162	1.101
10.88	1.202	1.167	1.107
11.32	1.206	1.171	1.112
11.75	1.210	1.175	1.118
12.19	1.214	1.179	1.122
12.62	1.218	1.183	1.127
13.06	1.221	1.187	1.131
13.49	1.225	1.190	1.135
13.93	1.228	1.194	1.139
14.37	1.231	1.197	1.143
14.80	1.234	1.200	1.147
15.24	1.237	1.203	1.150
15.67	1.240	1.206	1.153
16.11	1.243	1.209	1.157
16.54	1.245	1.211	1.160
16.98	1.248	1.214	1.163
17.41	1.250	1.216	1.165
17.85	1.253	1.219	1.168
18.28	1.255	1.221	1.171
18.72	1.257	1.223	1.173
19.15	1.259	1.226	1.176
19.59	1.261	1.228	1.178
20.02	1.263	1.230	1.181
20.46	1.265	1.232	1.183
20.89	1.267	1.234	1.185
21.33	1.269	1.236	1.187
